Web Search interest: phoropter; slickle; hubris; peristeronic; salient
Canada; Past 7 days

Interest over time
Time,phoropter,slickle,hubris,peristeronic,salient
2015-09-01-17:00 UTC,3,0,8,0,22
2015-09-01-18:00 UTC,3,0,16,0,22
2015-09-01-19:00 UTC,3,0,8,0,13
2015-09-01-20:00 UTC,0,0,19,0,22
2015-09-01-21:00 UTC,0,0,12,0,18
2015-09-01-22:00 UTC,0,0,9,0,15
2015-09-01-23:00 UTC,0,0,15,0,15
2015-09-02-00:00 UTC,0,0,12,0,18
2015-09-02-01:00 UTC,0,0,27,0,9
2015-09-02-02:00 UTC,0,0,16,0,3
2015-09-02-03:00 UTC,0,0,36,0,8
2015-09-02-04:00 UTC,0,0,16,0,11
2015-09-02-05:00 UTC,0,0,32,0,8
2015-09-02-06:00 UTC,0,0,26,0,26
2015-09-02-07:00 UTC,0,0,40,0,60
2015-09-02-08:00 UTC,0,0,54,0,27
2015-09-02-09:00 UTC,0,0,24,0,24
2015-09-02-10:00 UTC,0,0,14,14,14
2015-09-02-11:00 UTC,0,16,31,8,10
2015-09-02-12:00 UTC,0,10,25,15,10
2015-09-02-13:00 UTC,7,19,22,26,30
2015-09-02-14:00 UTC,13,22,31,9,19
2015-09-02-15:00 UTC,12,32,26,29,49
2015-09-02-16:00 UTC,17,20,31,17,62
2015-09-02-17:00 UTC,11,5,11,14,27
2015-09-02-18:00 UTC,8,13,24,5,24
2015-09-02-19:00 UTC,13,11,16,11,29
2015-09-02-20:00 UTC,16,11,19,16,30
2015-09-02-21:00 UTC,9,9,15,6,47
2015-09-02-22:00 UTC,6,12,24,3,15
2015-09-02-23:00 UTC,3,3,15,3,15
2015-09-03-00:00 UTC,3,3,24,9,41
2015-09-03-01:00 UTC,9,6,15,6,30
2015-09-03-02:00 UTC,3,10,23,3,27
2015-09-03-03:00 UTC,8,8,37,4,37
2015-09-03-04:00 UTC,5,11,33,11,44
2015-09-03-05:00 UTC,8,32,40,24,40
2015-09-03-06:00 UTC,13,46,26,26,38
2015-09-03-07:00 UTC,20,60,40,40,100
2015-09-03-08:00 UTC,27,27,43,0,27
2015-09-03-09:00 UTC,0,23,46,0,13
2015-09-03-10:00 UTC,0,0,13,0,13
2015-09-03-11:00 UTC, , , , , 


Top sub-regions for phoropter
Sub-region,phoropter,slickle,hubris,peristeronic,salient
Ontario,100,0,90,100,72
Alberta,0,0,86,0,54
British Columbia,0,0,100,0,100
Manitoba,0,0,78,0,43
New Brunswick,0,0,0,0,0
Newfoundland and Labrador,0,0,0,0,0
Nova Scotia,0,0,90,0,45
Northwest Territories,0,0,0,0,0
Nunavut,0,0,0,0,0
Prince Edward Island,0,0,0,0,0
Quebec,0,0,51,0,25
Saskatchewan,0,0,96,0,0
Yukon,0,0,0,0,0

Top sub-regions for slickle
Sub-region,phoropter,slickle,hubris,peristeronic,salient
Alberta,0,0,86,0,54
British Columbia,0,0,100,0,100
Manitoba,0,0,78,0,43
New Brunswick,0,0,0,0,0
Newfoundland and Labrador,0,0,0,0,0
Nova Scotia,0,0,90,0,45
Northwest Territories,0,0,0,0,0
Nunavut,0,0,0,0,0
Ontario,100,0,90,100,72
Prince Edward Island,0,0,0,0,0
Quebec,0,0,51,0,25
Saskatchewan,0,0,96,0,0
Yukon,0,0,0,0,0

Top sub-regions for hubris
Sub-region,phoropter,slickle,hubris,peristeronic,salient
British Columbia,0,0,100,0,100
Saskatchewan,0,0,96,0,0
Nova Scotia,0,0,90,0,45
Ontario,100,0,90,100,72
Alberta,0,0,86,0,54
Manitoba,0,0,78,0,43
Quebec,0,0,51,0,25
New Brunswick,0,0,0,0,0
Newfoundland and Labrador,0,0,0,0,0
Northwest Territories,0,0,0,0,0
Nunavut,0,0,0,0,0
Prince Edward Island,0,0,0,0,0
Yukon,0,0,0,0,0

Top sub-regions for peristeronic
Sub-region,phoropter,slickle,hubris,peristeronic,salient
Ontario,100,0,90,100,72
Alberta,0,0,86,0,54
British Columbia,0,0,100,0,100
Manitoba,0,0,78,0,43
New Brunswick,0,0,0,0,0
Newfoundland and Labrador,0,0,0,0,0
Nova Scotia,0,0,90,0,45
Northwest Territories,0,0,0,0,0
Nunavut,0,0,0,0,0
Prince Edward Island,0,0,0,0,0
Quebec,0,0,51,0,25
Saskatchewan,0,0,96,0,0
Yukon,0,0,0,0,0

Top sub-regions for salient
Sub-region,phoropter,slickle,hubris,peristeronic,salient
British Columbia,0,0,100,0,100
Ontario,100,0,90,100,72
Alberta,0,0,86,0,54
Nova Scotia,0,0,90,0,45
Manitoba,0,0,78,0,43
Quebec,0,0,51,0,25
New Brunswick,0,0,0,0,0
Newfoundland and Labrador,0,0,0,0,0
Northwest Territories,0,0,0,0,0
Nunavut,0,0,0,0,0
Prince Edward Island,0,0,0,0,0
Saskatchewan,0,0,96,0,0
Yukon,0,0,0,0,0




Top cities for hubris
Town/City,hubris
Victoria,100
Edmonton,97
Toronto,89
Mississauga,81
Vancouver,79
London,76
Winnipeg,76
Montréal,68
Ottawa,68
Calgary,66
Hamilton,56
Laval,30
Drummondville,0
Saskatoon,0


Top cities for salient
Town/City,salient
Ottawa,100
Vancouver,99
Toronto,96
Edmonton,91
Mississauga,66
Winnipeg,55
Montréal,53
Calgary,49
Richmond,0
Burnaby,0
Victoria,0



Top searches for phoropter
cadine,100
revergent,95
fination,90
trephony,85
peristeronic,85
slickle,75
unitory,75
apricity,75
regolith,70
fleek,60
tribution,60


Top searches for slickle
revergent,100
trephony,100
cadine,95
tribution,90
fination,80
unitory,70
apricity,70
fleek,65
regolith,65
peristeronic,60
stipple,60
phoropter,45
salient,30


Top searches for hubris
hubris definition,100
define hubris,25
salient,5
amiable,5


Top searches for peristeronic
unitory,100
fination,95
revergent,90
cadine,90
trephony,85
tribution,75
fleek,75
slickle,75
phoropter,65
regolith,65
apricity,60
stipple,50


Top searches for salient
salient definition,100
define salient,30
salient theme,25
revergent,25
stipple,20
tribution,20
lithe,20
soliloquy,20
amiable,20
rife,15
unitory,15
myers-briggs,15
hubris,15
slickle,15
modicum,10
regolith,10



Rising searches for phoropter
apricity,Breakout
cadine,Breakout
fination,Breakout
fleek,Breakout
peristeronic,Breakout
regolith,Breakout
revergent,Breakout
slickle,Breakout
trephony,Breakout
tribution,Breakout


Rising searches for slickle
apricity,Breakout
cadine,Breakout
fination,Breakout
fleek,Breakout
peristeronic,Breakout
phoropter,Breakout
regolith,Breakout
revergent,Breakout
salient,Breakout
stipple,Breakout


Rising searches for hubris
amiable,Breakout
salient,Breakout


Rising searches for peristeronic
apricity,Breakout
cadine,Breakout
fination,Breakout
fleek,Breakout
phoropter,Breakout
regolith,Breakout
revergent,Breakout
slickle,Breakout
stipple,Breakout
trephony,Breakout


Rising searches for salient
amiable,Breakout
hubris,Breakout
lithe,Breakout
modicum,Breakout
myers-briggs,Breakout
regolith,Breakout
revergent,Breakout
rife,Breakout
slickle,Breakout
soliloquy,Breakout



